하하카,76,155
다카타,81,143
하카타,92,184
라자타,96,174
라바바,71,196
사자바,95,190
카사라,76,160
가하자,71,199
나하하,99,194
마하마,79,184
타다차,57,167
가라다,93,144
나타파,47,194
사바자,81,168
가라사,65,161
바차마,58,183
다카가,90,180
라마가,48,173
라나바,47,159
가카바,78,171
자파가,79,166
나다파,81,168
가자아,99,147
타바바,82,193
자마다,60,173
파라자,73,165
카하다,44,194
차마바,48,155
라하파,67,155
차라아,91,166
차차나,40,165
다하라,60,193
카다바,90,154
바파바,86,173
사가자,81,151
나다하,98,184
타카바,73,181
나마바,48,150
사하차,74,153
아라하,68,197
다사아,75,142
파카나,51,161
아다아,50,190
파바바,50,148
차사사,43,182
사아가,79,165
바사바,43,198
사바하,42,163
자라아,92,159
바나카,74,146
라카차,77,159
바바카,54,189
사파자,47,154
사파하,83,156
아바카,41,140
라가가,54,177
나파자,93,156
다나나,98,180
가라라,90,189
자사파,88,197
바마아,65,186
바타아,50,142
파자자,82,199
바마차,82,180
아타바,53,149
타가아,67,173
다라라,64,154
차마사,61,161
바다다,45,175
타사타,95,142
가사나,68,151
라나하,44,170
파사하,90,140
라나바,95,188
라파하,74,163
마자카,40,192
파바가,96,169
차라파,87,155
하나자,50,154
다마파,90,183
하나파,63,186
자사사,84,187
타타카,49,142
사마마,72,198
다하마,41,177
바가나,47,181
라다마,96,181
가라파,92,179
다가가,84,161
라카자,78,199
아바마,63,199
차다사,94,154
다나파,69,142
바파바,74,178
아파마,76,154
가나사,66,166
아타다,77,176
파마나,78,180
차라사,78,189
마카타,47,154
하차바,68,183
가타가,87,190
다자차,73,174
라다마,60,172
자아차,97,140
자라아,87,145
라나타,54,145
차하카,64,181
가가카,87,172
타바나,86,152
파가다,40,170
사파차,72,173
다다파,58,194
바자나,58,170
사하카,59,158
파자마,70,166
바차다,68,166
타바나,97,173
하카차,69,174
바바바,99,165
사아나,97,156
다타라,73,149
자파다,53,142
타마마,78,184
차타하,91,159
하마파,40,173
차나바,78,192
하자파,77,169
라다다,45,150
나라마,98,162
카나마,69,196
바라아,67,160
다다바,54,161
가아파,95,183
라다다,92,143
타바자,43,190
차다파,91,197
카차가,68,177
바카사,73,144
바바하,70,141
사라나,67,198
가하가,51,176
다카마,79,151
카사아,96,197
가나하,63,161
자나가,86,167
바라타,75,177
나차파,59,152
가아자,75,195
사바하,93,180
마하타,54,196
카타바,98,148
가바다,55,148
나나바,40,159
자다카,91,193
타파가,92,199
차타아,86,182
가다아,45,164
라나라,55,155
사자다,82,145
가사가,74,174
차가바,46,141
타라하,98,172
다타라,79,182
마마차,59,194
카아마,70,144
가차마,49,199
아라하,50,186
바바차,43,140
카타다,50,191
파가파,73,180
차다바,83,157
하다다,89,183
파라아,87,192
카자다,93,145
차다마,99,153
아타파,63,143
하사다,70,173
아아라,48,163
하마타,61,178
하아파,46,182
가가타,57,153
카자파,71,190
사마카,44,177
하라바,95,173
라카파,40,163
자카차,52,173
하라타,53,161
나차사,48,186
나라나,89,154
다자타,46,189
아타사,49,149
바파라,83,181
나라다,64,192
사사바,65,161
사아카,78,194
다다바,89,141
자사파,69,156
마마마,89,191
나사다,56,194
타나카,95,141
마차카,92,188
타타파,81,163
바가마,61,152
마아아,53,163
하나라,76,176
나다카,88,145
차자마,49,147
사카바,40,173
사바바,94,181
